block_id,clip_index,sentence_id,weight,register,narration,phenomenon,subject,scale,setting,words,variants,move,air,motion,topic_class
b00,1,s001,hero,hush,It is three eleven in the morning. You are awake again. The ceiling has not changed in the last hour and neither has the thing you cannot stop turning over.,"{night_room} extreme close on a phone face-down glowing 3:11 on a nightstand, one warm lamp low against cool blue dark, an unmade bed edge soft behind",the clock reads three eleven,1,night_room,30,4,push,,,universal
b00,2,s002,hero,hush,"You know this hour. The whole house asleep, and one mind running the same track it has run every night this week. Money. A person. A result you cannot make come any faster.","{worrier} medium close sitting on the edge of the bed, elbows on knees, head lowered into one hand, lit only by low warm lamp against deep cool shadow, face turned away",awake on the edge of the bed,1,worrier,33,4,push,,,universal
b00,3,s003,hero,hush,Here is the strange part. You have solved nothing by lying here. Not one problem has moved an inch. The worry has taken the whole night from you and handed nothing back in return.,"{worrier} closeup of tired eyes reflecting the lamp, red-rimmed and open in the dark, the rest of the face held in shadow, completely still, contemporary, photoreal",open eyes in the dark,1,worrier,34,4,push,,,universal
b00,4,s004,hero,hush,"And you are not the first. Three thousand years before your phone lit the ceiling, people lay exactly like this in the dark, carrying exactly this weight. And some of them wrote down what they found.","{worrier} the person's silhouette against a lamplit wall, still and sleepless, the modern room dissolving at the edges toward warm ancient light, contemporary, photoreal",the sleepless silhouette,1,worrier,36,4,push,,,universal
b00,5,s005,hero,plain,"So let us go back, and walk through their answers one by one. Sixteen of them. By the end you will have three things to do tonight before you sleep. But they only add up if you stay for all sixteen.","{sermon_mount} a bright green hillside above the sea of Galilee at dawn, the first gold light breaking over the water, a great crowd beginning to gather on the grass, cinematic biblical epic",dawn breaks over Galilee,4,sermon_mount,41,4,pull,,,universal
b00,6,s006,hero,plain,"It begins on a hillside, with the most surprising thing anyone ever said about worry. A teacher sits, a crowd gathers, and he gives them not comfort, but a command.","{sermon_mount} a robed teacher seated on the bright hillside above Galilee, a great crowd of ancient listeners seated on the grass before him in clear morning light, cinematic biblical epic",the teacher and the crowd,4,sermon_mount,30,4,pull,,,universal
b01,1,s007,hero,plain,"Do not be anxious, he says. Not a suggestion. Not a wish. A command. And a command is a strange thing to give about a feeling, because you cannot command the weather, and you cannot command a fever.","{sermon_mount} the robed teacher on the bright hillside, hand raised in address, the seated crowd intent, brilliant morning light over Galilee, cinematic biblical epic",the command given,3,sermon_mount,38,4,pull,,,universal
b01,2,s008,connective,plain,"You only command a thing a person is actually able to do. Which means, to the people on that hillside, worry was not only a storm that lands on you. It was partly a thing you could take hold of, and set down.","{sermon_mount} faces in the ancient crowd on the hillside, lit with dawning understanding, bright Galilee daylight, cinematic biblical epic",the crowd understands,2,sermon_mount,43,2,pull,,,universal
b01,3,s009,connective,plain,"And these were not soft, untroubled people. They lived under Rome, under taxes that ruined families, under sickness with no cure. They knew fear that would flatten us. And still it was given as a thing to take hold of.","{sermon_mount} a wide sweep of the great hillside crowd above the bright sea of Galilee, ordinary hard-worn ancient faces, cinematic biblical epic",the whole hillside listens,4,sermon_mount,40,2,pull,,,universal
b01,4,s010,connective,warm,"So the first thing you do, tonight, when the loop starts at three a.m., is what that hillside was told. Name it. Say the one fear out loud, in a single plain sentence. You are not solving it yet. You are picking up the handle.","{sermon_mount} the teacher's hand open toward the listening crowd on the bright hill, an offered truth, gold morning light, cinematic biblical epic",the offered word,3,sermon_mount,45,2,push,,,universal
b01,5,s011,hero,plain,"Then he points at the sky. Look at the birds, he says. They do not sow or reap or gather into barns, and yet they are fed. He points to the wild flowers, blazing brighter than Solomon in all his glory, here today and gone tomorrow.","{birds_sky} a bright dawn sky over the Galilee hills, birds of the air wheeling and gliding on the wind, gold light, vast and free, cinematic biblical epic",birds wheel in the dawn sky,4,birds_sky,46,4,pull,,,universal
b01,6,s012,hero,plain,"If God clothes the grass of the field like that, he asks, will he not care for you. Do not worry about tomorrow, he says, for tomorrow will worry about itself. Each day has enough trouble of its own.","{lilies_field} a wide hillside blazing with wild lilies and grass in brilliant morning light, more glorious than kings, cinematic biblical epic",the lilies of the field,4,lilies_field,39,4,pull,,,universal
b01,7,s013,connective,plain,"There was an older picture underneath it. A whole people crossing a desert, given bread on the ground each dawn. Enough for the day. And a strange rule attached. You could not store it. Hoard tomorrow's portion tonight, and by morning it had spoiled.","{manna_desert} the wilderness of Sinai at dawn, fine pale manna scattered like frost across the desert floor catching first gold light, cinematic biblical epic",manna on the desert floor,4,manna_desert,44,2,pull,,,universal
b01,8,s014,connective,plain,"Read it as a law about worry, not just food. Tomorrow's strength cannot be gathered tonight. Lie awake hoarding next week's troubles, and they rot in your hands. There is only ever today's portion, and today's strength to meet it.","{israel_gather} Israelites in ancient robes stooping to gather manna into jars in the bright desert dawn, a whole people at the daily harvest, cinematic biblical epic",gathering the daily bread,3,manna_desert,40,2,push,,,universal
b01,9,s015,connective,warm,"So tonight, when the fear comes, ask one question. Is this happening now, or am I gathering tomorrow's bread. If it is not today's, set it down until it is. You only ever have to carry one day. That is the second answer.","{manna_desert} close on manna gathered into two cupped ancient hands at dawn, enough for one day, soft gold light, cinematic biblical epic",enough for one day,2,manna_desert,43,2,push,,,universal
b01,10,s016,hero,plain,"In a house in Bethany, two sisters. One rushes, serving, arranging, anxious about a great many things. The other simply sits, still, at the teacher's feet, and listens. And it is the busy one who is gently called troubled.","{martha_house} the bright interior of a first-century Bethany house, one woman serving in a blur of motion, another seated still at the robed teacher's feet, warm daylight, cinematic biblical epic",the two sisters of Bethany,2,martha_house,39,4,push,,,universal
b01,11,s017,connective,plain,"She is not doing wrong things. She is doing good things, anxiously. And the words spoken to her are precise. You are worried and distracted about much, when only one thing is needed. The many things were the trap.","{martha_house} close on the serving sister's hands moving quickly among clay vessels in warm light, a blur of anxious activity, cinematic biblical epic",the anxious serving hands,1,martha_house,39,2,push,,,universal
b01,12,s018,connective,plain,"That word, distracted, is the key. Worry pulls the mind in every direction at once and calls the scattering effort. She thought she was coping. She was only spinning. The stillness she resented was the thing actually needed.","{martha_house} the seated sister still in a bright shaft of light near the doorway, calm and unhurried, the warm daylight falling over her, cinematic biblical epic",the one who sat still,2,martha_house,38,2,settle,,,universal
b01,13,s019,connective,warm,"So tonight, subtract, do not add. When the fear makes you clean at midnight or reorganise what was already fine, stop. Choose the one thing genuinely needed, let the busy ten fall away, and be still for five honest minutes. That is the third.","{martha_house} wide of the sunlit Bethany room, one figure caught in anxious motion, one seated in peace in the light, cinematic biblical epic",motion and stillness,2,martha_house,44,2,settle,,,universal
b02,1,s020,hero,plain,"The writings keep reaching for one physical verb. Cast. Throw. Hand the weight to someone stronger. Cast your burden on the Lord, one line says, and he will sustain you. Cast all your anxiety on him, says another, for he cares for you.","{cast_burden} an ancient near-eastern figure on a bright hillside road lowering a great burden-bundle from the shoulders toward the ground, wide clear daylight, cinematic biblical epic",the burden set down,2,cast_burden,43,4,pull,,,universal
b02,2,s021,connective,plain,"Read the small word. All. Not the manageable part. Not the presentable part you would admit to a friend. All of it. The whole crushing, three a.m. weight, handed to shoulders built to hold what yours were not.","{cast_burden} close on ancient hands releasing the straps of a heavy burden, the load settling into the dry bright grass of the hillside, cinematic biblical epic",the straps released,1,cast_burden,38,2,pull,,,universal
b02,3,s022,connective,plain,"This is not denial. The weight is real, the text never pretends otherwise. The whole question is where it rests. Carried alone through the night it breaks you. It was simply never yours to carry alone.","{cast_burden} the figure now standing straight and unburdened on the bright ridge, the great bundle small on the ground behind, vast sky, cinematic biblical epic",standing unburdened,3,cast_burden,36,2,settle,,,universal
b02,4,s023,connective,warm,"So tonight, as you set the phone down, say the sentence, and open your hands. This one is not mine to carry until morning. I am handing it over. And then actually let the hands fall open. That is the fourth answer.","{cast_burden} close on two ancient hands opening empty and upturned in bright daylight, the burden gone, cinematic biblical epic",the open empty hands,1,cast_burden,42,2,push,,,universal
b02,5,s024,hero,plain,"Sometimes the fear is not irrational. Sometimes you really are walking into a dark valley. The oldest song about it does not pretend you avoid the valley. Though I walk through the valley of the shadow of death, it says. Through. Not around.","{shepherd_valley} a deep shadowed valley between high pale cliffs at dusk, one bright shaft of light along the floor, a lone shepherd leading a small flock forward, cinematic biblical epic",into the valley of shadow,3,shepherd_valley,43,4,crane,,,universal
b02,6,s025,connective,plain,The path goes down into the dark place. And the promise attached is not what we want it to be. It is not that the valley disappears. It is four words. You are with me. The comfort is not escape from the dark. It is company inside it.,"{shepherd_valley} the shepherd and flock small in the sunlit shaft mid-valley, the cliffs dark on either side, moving steadily on, cinematic biblical epic",the shepherd in the valley,3,shepherd_valley,48,2,crane,,,universal
b02,7,s026,connective,plain,For a mind at three a.m. that is sturdier than any promise of rescue. You have always known some valleys are real and must be crossed. This does not lie to you. It only says you will not cross alone.,"{shepherd_valley} light widening ahead of the shepherd toward the valley's far bright mouth, the exit in sight, cinematic biblical epic",light at the valley's mouth,4,shepherd_valley,40,2,pull,,,universal
b02,8,s027,connective,warm,"So when the fear is real, stop trying to feel no fear. Name the valley honestly, and take one concrete step through it today. One call, one conversation, one thing. Forward, not around, and not alone. That is the fifth.","{shepherd_valley} the shepherd's staff in hand on the sunlit valley floor, moving forward into the dark, cinematic biblical epic","the staff, moving forward",2,shepherd_valley,40,2,pull,,,universal
b02,9,s028,hero,plain,"There is a line everyone quotes and no one hears. Be still, and know. We read it as a soft suggestion. But look where it sits. Mountains falling into the sea. Waters roaring. Nations in an uproar. And into that noise, the command. Be still.","{fortress_refuge} a massive ancient walled fortress of pale stone rising bright against a clear sky above roaring floodwaters and distant storm, immovable, cinematic biblical epic",the fortress above the flood,4,fortress_refuge,45,4,crane,,,universal
b02,10,s029,connective,plain,"And the order of the words is the whole lesson. Be still, and then know. The stillness first, the knowing after. You do not think your way into calm. You get still, and only then can you see what is true.","{still_waters} green pastures beside broad still waters under a soft bright sky, a flock resting at the calm water's edge, serene, cinematic biblical epic","still waters, resting flock",3,still_waters,41,2,settle,,,universal
b02,11,s030,connective,plain,"And the thing to know, once still, is a fact, not a feeling. God is our refuge, it says, therefore we will not fear. The safety is true first. The calm is the response to the truth, never its cause.","{fortress_refuge} the great fortress gate standing solid and bright in clear daylight, unshaken, cinematic biblical epic",the refuge stands,4,fortress_refuge,40,2,push,,,universal
b02,12,s031,connective,warm,"So tonight, when the mind spins fastest, slow the body first. Not more thinking. Fewer inputs. A closed door, a slow breath, two minutes of stillness before you reach for anything. The stillness is not the reward. It is the entrance. That is the sixth.","{still_waters} close on the calm mirror surface of the still waters, one slow ripple settling flat, bright sky reflected, cinematic biblical epic",the ripple settles,2,still_waters,45,2,settle,,,universal
b03,1,s032,hero,plain,"A traveller's song begins by lifting the eyes clean off the ground. I lift my eyes to the hills, it says. Where does my help come from. The first move against fear is to raise your gaze from the narrow thing in front of you.","{hills_help} a wide dawn vista of the hills of Judea rising in ranks to a bright horizon, gold on the far peaks, a lone traveller on the road below lifting his eyes, cinematic biblical epic",eyes lifted to the hills,4,hills_help,45,4,crane,,,universal
b03,2,s033,connective,plain,"Worry has a posture. Head down, eyes narrow, the whole world shrunk to one small thing held close in the dark. The song does the opposite. It lifts the head, widens the frame to a mountain range, and asks a bigger question than the fear.","{hills_help} low angle up a bright Judean hillside to a vast open sky, the horizon high, the frame immense, cinematic biblical epic",the widening frame,3,hills_help,45,2,pull,,,universal
b03,3,s034,connective,plain,"Then it says the line made for three a.m. He who keeps you will not slumber nor sleep. While you lie awake, something is awake with you, and it is not anxious. The watch is being kept, whether or not you keep it.","{watchman_night} an ancient city watchman standing on a high stone rampart under a deep starry sky, unsleeping, keeping the night watch, cinematic biblical epic",the unsleeping watchman,3,watchman_night,43,2,crane,,,universal
b03,4,s035,connective,warm,"So tonight, when you catch the worry posture, lift your eyes. Literally raise your head, widen the view, and say it. The watch is being kept without me. You are not the night watchman of your whole life. You never were. That is the seventh.","{watchman_night} a single bright star held steady in the deep blue sky above the watchman's rampart, unblinking, cinematic biblical epic",the steady star,3,watchman_night,45,2,crane,,,universal
b03,5,s036,hero,plain,"Now the fear gets loud. A small boat on the sea of Galilee, caught in a sudden storm. Men who fish for a living are terrified. And the one person asleep in the stern is the calm they cannot find.","{galilee_storm} a small wooden fishing boat low in a wild storm on the sea of Galilee, terrified robed disciples, black cloud and spray, one figure asleep in the stern, cinematic biblical epic, high drama",the storm on Galilee,4,galilee_storm,40,4,push,,,universal
b03,6,s037,hero,plain,"They wake him. Do you not care that we are going under. He stands, and speaks to the storm as if it were a room grown too loud. Peace. Be still. And the water goes flat. Then the question. Why were you afraid.","{storm_stilled} the sea of Galilee gone suddenly mirror-flat under a clearing bright sky, the small boat steady, a standing figure with hand raised, calm spreading, cinematic biblical epic",the storm stilled,4,storm_stilled,43,4,settle,,,universal
b03,7,s038,connective,plain,"The point is not that storms never come. This one came, and they nearly sank. The point is who was aboard the whole time, present, unbothered, closer than the fear. The calm was in the boat before the wind ever dropped.","{storm_stilled} wide of the small boat sitting steady on now-calm bright water under a vast clearing sky, tiny and safe, cinematic biblical epic",the boat safe on calm water,3,storm_stilled,41,2,settle,,,universal
b03,8,s039,hero,plain,"The second scene is harder. Three men in Babylon, ordered to bow or burn. Their answer is the bravest sentence about fear ever written. Our God is able to save us. But even if he does not, we still will not bow.","{furnace_hall} the vast throne hall of ancient Babylon, a towering fiery furnace glowing gold, three robed figures standing unbowed before it, king and court watching, cinematic biblical epic, no graphic violence",the three before the furnace,4,furnace_hall,42,4,crane,,,universal
b03,9,s040,connective,plain,"Even if not. That is the phrase that breaks worry's back. Most fear is a bargain. Keep me safe, and I will trust you. These men cut the bargain. They trust with no guarantee of the outcome, and the fear has nothing left to hold.","{furnace_hall} the three robed figures walking calm and deliberate toward the glowing furnace mouth, unbowed, silhouetted against gold, cinematic biblical epic",walking toward the fire,3,furnace_hall,45,2,push,,,universal
b03,10,s041,connective,plain,"And the story adds one detail. In the fire, a fourth figure walking with them, radiant, unharmed. Whatever you make of it, the claim is stark. Even in the worst outcome, they were not in there alone. That was the whole point.","{furnace_fourth} inside the gold glow of the furnace, three figures walking unharmed and a radiant fourth figure of light among them, cinematic biblical epic",the fourth in the fire,3,furnace_fourth,42,2,push,,,universal
b03,11,s042,connective,warm,"Bring both to your bed. The calm can be aboard before the storm drops. And peace can survive even the worst, because you were never facing it alone. So ask, honestly, in daylight. If the worst came, would I still be held. That is the eighth.","{storm_stilled} the last ripples smoothing to glass beside the steady boat under a bright clearing sky, cinematic biblical epic",the water smooths to glass,2,storm_stilled,46,2,push,,,universal
b04,1,s043,hero,plain,"A single proverb most have never heard. Anxiety in the heart weighs it down. But a good word makes it glad. Two clauses, and between them, a whole strategy for the three a.m. mind.","{proverbs_court} a wise ancient Hebrew teacher in a sunlit stone colonnade speaking a proverb to gathered listeners, warm bright daylight, cinematic biblical epic",the proverb spoken,2,proverbs_court,34,4,push,,,universal
b04,2,s044,connective,plain,"The first clause is honest. Anxiety is a weight, and it truly bows the heart down. The second is astonishing for how small the cure is. Not a fortune. Not a solved problem. A good word. One true, kind sentence, and the heavy heart lifts.","{proverbs_court} a bowed listener in the sunlit colonnade lifting the head as the teacher's word lands, warm light, cinematic biblical epic",the head lifts at the word,2,proverbs_court,45,2,push,,,universal
b04,3,s045,connective,warm,"So tonight, be the good word, for yourself and one other. Send the message you would want at three a.m. You are carrying a word that can lift a bowed heart. Spend it. That is the ninth.","{proverbs_court} close on the teacher's open hand offering the word in warm bright light, cinematic biblical epic",the word offered,1,proverbs_court,37,2,push,,,universal
b04,4,s046,hero,plain,"From a prison cell, an old man writes to a frightened young one. You were not given a spirit of fear, he says, but of power, and love, and a sound mind. Read what that does. Fear is named as a thing that does not belong to you.","{paul_prison} the apostle Paul in a lamplit stone prison cell writing a letter by candlelight, calm and unafraid, warm glow against cool dark, cinematic biblical epic",Paul writes from prison,2,paul_prison,48,4,push,,,universal
b04,5,s047,connective,plain,"Not a spirit you were given. Not the truth about who you are. A visitor, acting like the owner. And the residents, he insists, are power, love, and a sound and steady mind. The man in chains is less afraid than the free man he writes to.","{paul_prison} close on Paul's steady hand writing calm words by candlelight in the prison cell, warm light, cinematic biblical epic",the calm hand in chains,1,paul_prison,47,2,settle,,,universal
b04,6,s048,connective,warm,"So when fear says this is who you are, answer it. No. You are a visitor. Power, love, a sound mind, those are the residents. Name the fear as a guest and refuse it the deed to the house. That is the tenth.","{paul_prison} the finished letter in warm candlelight on the prison table, steady and unafraid, cinematic biblical epic",the unafraid letter,1,paul_prison,43,2,push,,,universal
b04,7,s049,hero,plain,"You keep him in perfect peace, one line says, whose mind is stayed on you. Stayed. Fixed. Anchored. Peace is not the absence of the storm. It is the direction the mind is pointed while the storm runs.","{still_waters} a small anchored fishing boat holding steady on bright choppy water, the anchor line taut below, a clearing sky, cinematic biblical epic",the anchored boat holds,3,still_waters,38,4,push,,,universal
b04,8,s050,connective,plain,"The boat still sits on moving water. But the anchor holds it to one fixed point, so the storm cannot carry it away. And the three a.m. mind is stayed, alright, but on the wrong thing, circling the problem. Change the anchor. Fix it on the one who keeps you.","{still_waters} the taut anchor line disappearing into clear bright water, holding firm against the current, cinematic biblical epic",the anchor holds firm,2,still_waters,50,2,push,,,universal
b04,9,s051,connective,warm,"So tonight, each time the loop pulls the mind back to the problem, gently re-fix the anchor. Not once. Every time it drifts. Peace is not never drifting. It is noticing, and re-anchoring, as many times as it takes. That is the eleventh.","{still_waters} broad calm bright water under a clear sky, one fixed point of light steady on the horizon, cinematic biblical epic",the fixed point on the water,3,still_waters,43,2,pull,,,universal
b05,1,s052,hero,plain,"And here is where all of it lands. Do not be anxious about anything, the passage says. But in everything, by prayer, tell God what you need. And then the promise the whole book has been building toward.","{peace_gate} a great bright city gateway of pale stone in clear daylight with a still watch-tower rising above it, solid and calm, cinematic biblical epic",the gate and the watch,4,peace_gate,38,4,crane,,,universal
b05,2,s053,connective,plain,"A peace beyond understanding will guard your heart and your mind. Read the last word slowly. Guard. A soldier's word. A sentry posted at the gate of the heart, standing watch through the night, keeping the fear out.","{peace_gate} a single still sentry standing watch in the bright gateway, unmoving and steady, keeping the gate, cinematic biblical epic",the sentry keeps the gate,3,peace_gate,38,2,push,,,universal
b05,3,s054,connective,plain,So the exhausted one inside can finally lay the weapons down and rest. You are not the sentry anymore. You are the one being guarded. And your one task in the passage is simply to ask. The guarding is not your job. The peace posts itself.,"{peace_gate} warm light spreading behind the high walls as the sentry holds the bright gate, the court within at peace, cinematic biblical epic",the guarded court at peace,3,peace_gate,46,2,settle,,,universal
b05,4,s055,connective,warm,"That is the trade offered the three a.m. mind. Hand over what you cannot fix, and a guard is posted you did not have to hire. You were never told to be strong enough. You were told to be kept. That is the twelfth.","{peace_gate} the bright gate quiet and secure in warm evening light, the sentry steady, cinematic biblical epic",the gate secure at dusk,3,peace_gate,44,2,settle,,,universal
b05,5,s056,hero,plain,"The most practical answer in the book. A prophet, after his greatest victory, collapses under a lone desert tree and asks to die. He is not faithless. He is exhausted. And the first thing heaven sends him is not a lecture.","{broom_tree} the prophet Elijah asleep beneath a lone broom tree in a vast bright wilderness, gold light across the sand, cinematic biblical epic",Elijah under the tree,3,broom_tree,41,4,pull,,,universal
b05,6,s057,connective,plain,"It is sleep. Then food. An angel wakes him only to feed him, and lets him sleep again. Sleep, and bread, and water, twice, before a single word is spoken. The care came before the correction. He was not in crisis of faith. He was tired and unfed.","{broom_tree} an angel setting fresh bread and a jar of water beside the sleeping prophet in the bright wilderness, gold light, cinematic biblical epic",bread and water for the prophet,2,broom_tree,48,2,pull,,,universal
b05,7,s058,connective,plain,"And only then, gently, the quiet voice, not in the wind or the earthquake or the fire, but in a low whisper after them. Much of what feels like despair at three a.m. is a body running on no sleep, no food, no daylight. The machine is simply depleted.","{elijah_cave} the prophet Elijah at the mouth of a mountain cave in bright dawn, wind and fire passing below, a still small light within, cinematic biblical epic",the still small voice,4,elijah_cave,49,2,settle,,,universal
