block_id,clip_index,sentence_id,weight,register,narration,phenomenon,subject,scale,setting,words,variants,move,air,motion,topic_class
b00,1,c01,hero,hush,There is a chamber in the west that holds no light and gives nothing back.,"{hollowfour} extreme close, the seam line where the slab meets the arch, one hard line of shadow across the stone face, cold raking light",cold open: the sealed mouth,2,hollowfour,15,4,,,,universal
b00,2,c02,connective,hush,"Three of its neighbours stand open. This one is shut, and shut on purpose.","{hollowfour} close low angle, the unbroken slab flush in its arch, the bare dry wall around it, hard cold light",cold open: the sealed mouth,2,hollowfour,14,2,,,,universal
b00,3,c03,connective,hush,"One piece of stone, cut to fill the arch exactly, meant to hold forever.","{hollowfour} extreme close on the flush join of slab and arch, fine tool marks catching a low cold light",cold open: the sealed mouth,1,hollowfour,14,2,,,,universal
b00,4,c04,hero,hush,The old accounts say a living man was carried here and made to look at it.,"{enochman} medium from behind, standing small before the sealed arch with {tablet} under one arm, cold light falling past him onto the stone",cold open: the witness at the arch,2,enochman,16,4,,,,universal
b00,5,c05,connective,hush,His name was Enoch. The mountain stands in the west. The chambers are four.,"{westmountain} wide, the four arched openings ranged along the base, one small robed figure standing before the last of them",cold open: the witness at the arch,3,westmountain,14,2,,,,universal
b00,6,c06,hero,awe,Stand back far enough and the mountain shows you what it is. A keeping place.,"{westmountain} extreme wide high angle, the whole sheared face and the four mouths in a row, bare swept stone running to the frame edge",cold open: the keeping place revealed,4,westmountain,15,4,,,,universal
b00,7,c07,connective,awe,Every person who has ever died is waiting behind one of those four doors.,"{hollowthree} wide from the chamber mouth, the standing crowd facing one direction in cold even light, hard shadow at their feet",cold open: the waiting crowd,3,hollowthree,14,2,,,,universal
b00,8,c08,connective,hush,Three of the four will open on the appointed day. One of them will not.,"{archface} wide, the four arches in a row, three catching a pale warm light and the fourth holding its dark",cold open: three lit one dark,3,archface,15,2,,,,universal
b00,9,c09,connective,hush,"The road to that answer runs west, out past the edge of the made world.","{upland} extreme wide, one small figure walking alone toward a bright western horizon, long morning shadow behind him",cold open: the road west begins,2,upland,15,2,,,,universal
b00,10,c10,connective,hush,"And like every road in the old world, it begins with a man holding a stone.","{enochhome} medium, the low dwelling alone on its dry upland in plain strong morning daylight, the one dark doorway waiting",cold open: the road west begins,1,enochhome,16,2,,,,universal
3,5,s43,hero,awe,"One of them notices him, and stops, and becomes a man.","{fireplain} medium two-shot, {burningmen} motionless and turned toward {enochman}, the flame resolving into the shape of a human figure, hard orange light across the man's face",the burning men take human shape,2,fireplain,11,4,,,,universal
3,9,s45,connective,awe,Behind them the ground rises into mountains he has no name for.,"{firewater} extreme wide, a range of black rock mountains ranged against a dark sky, their flanks bare and glassy, one distant orange glow low on the largest",a river of fire pours down a mountainside,4,firewater,12,2,,,,universal
3,33,s57,connective,awe,"Where the two of them meet, at the western end, the air is white.","{steamshore} extreme wide, an enormous white wall of steam risen along a dark coastline, backlit and glowing, the sea flat and dark beneath it",fire meets the cold sea in steam,4,steamshore,14,2,,,,universal
4,33,s77,connective,awe,The seventh one is in the centre and it is taller than the six.,"{thronepeak} extreme wide low angle, one white mountain posted at the centre of the group and rising far above the others, cold pale light on its upper slopes",the throne-mountain shows its summit,4,thronepeak,14,2,,,,universal
5,9,s85,connective,awe,"And then, out in the middle of all that nothing, there is light.","{starprison} extreme wide, seven points of burning light hanging in a vast open dark, small and far off, their glow the only illumination in the frame",seven stars burn bound in the pit,4,starprison,13,2,,,,universal
5,33,s97,connective,awe,"There is a second place, further on, and Uriel takes him to it.","{angelprison} wide from behind, two figures walking toward an enormous dark break in the ground, orange light rising out of it onto their backs",columns of fire fall into the second cleft,4,angelprison,13,2,,,,universal
6,1,s101,hero,awe,"The new one does not explain himself, and they start walking west again.","{westmountain} wide from behind, {guidetwo} leading and {enochman} following across bare dark ground, low hard light throwing both shadows forward",the mountain of hard rock stands in the west,4,westmountain,13,4,,,,universal
6,9,s105,connective,wonder,"At the foot of it, the one who replaced Uriel finally speaks.","{archface} medium two-shot, {guidetwo} and {enochman} halted at the base of a sheared rock wall, cold light falling down the face onto both",the new guide gives his name,3,archface,12,2,,,,universal
7,25,s133,connective,awe,The third one is where the voice has been coming from all along.,"{hollowthree} extreme wide, a great chamber of smooth grey rock packed with standing figures all turned toward the entrance, cold even light from the mouth",the third chamber holds the ones who were killed,4,hollowthree,13,2,,,,universal
7,33,s137,connective,wonder,"He comes to the fourth last and stops, because it is not an opening.","{hollowfour} wide, an arched shape cut into the rock face and filled flush with unbroken stone, cold light raking across the flat surface",the fourth is sealed and none are raised,4,hollowfour,14,2,,,,universal
