block_id,clip_index,weight,register,narration,phenomenon,subject,scale,topic_class,air,move,motion,fx
0,1,hero,dread,"It is nearly noon outside the city, at a place called The Skull, and three men are dying. <break time=""600ms"" />","{golgotha_cross} wide establishing, three crosses raised on bare rock outside the city wall, hard midday sun overhead, dust lifting flat across the ground",three crosses stand at noon,3,universal,kb,,,dust
0,2,connective,dread,"A sign nailed above the center cross reads: THE KING OF THE JEWS. <break time=""400ms"" />","{golgotha_cross} close, a rough wooden sign nailed above a crossbeam, crude burned lettering, harsh sunlight raking across the grain",a sign nailed above him,1,universal,kb,,,
0,3,connective,dread,"Below, soldiers gamble for the one thing he still owns.","{golgotha_cross} medium low angle, soldiers crouched at the foot of a cross tossing marked stones onto a spread cloak, dust rising with each throw",a cloak divided by chance,2,universal,kb,,,dust
0,4,connective,dread,"A restless crowd presses in at the base of the hill, hurling insults upward. <break time=""500ms"" />","{golgotha_cross} wide, a restless crowd filling the base of the hill under a vast bruised sky, fists raised, dust kicked up underfoot, harsh overhead light",a crowd hurls insults,3,universal,kb,,,
0,5,connective,dread,"One of the two condemned men beside him joins the mockery, daring him to prove himself.","{golgotha_cross} medium, a dying man's face twisted in a sneer, dried blood at the temple, harsh side light across cracked skin",one condemned man sneers,2,universal,kb,,,
0,6,connective,teaching,"The other convicted man turns and rebukes him: we are punished justly, but this man has done nothing wrong. <break time=""600ms"" />","{golgotha_cross} close, a second dying man turning his head toward the first, dust and blood on cracked skin, a shaft of hard light crossing his face",a second man objects,2,universal,kb,,,
0,7,hero,grief,"Then he turns his head the other way, toward the man hanging at the center, and finds enough strength left to speak. <break time=""700ms"" />","{golgotha_cross} close on a face turning, sweat and dust catching low sun, eyes finding another face across the gap between crosses",a criminal begs mercy,2,universal,kling,,"slow subtle push toward the turning face, minimal camera drift, breath and blinking only, natural realistic micro-motion",
0,8,connective,grief,"""Remember me,"" he says, ""when you come into your kingdom.""","{golgotha_cross} extreme close on cracked lips forming words, a single bead of sweat tracking through dust on skin, shallow depth of field",a criminal begs mercy,1,universal,kb,,,
0,9,hero,wonder,"The answer comes back without a pause, as if the question had already been expected. <break time=""800ms"" />","{golgotha_cross} close three-quarter profile, a bearded face turned toward the dying man beside him, calm steady eyes, absolute certainty in the gaze, hard sunlight breaking through cloud onto the brow",Jesus answers without hesitation,2,universal,kling,,"slow subtle push in on the face, minimal drift, natural realistic micro-motion, breath only",
0,10,hero,wonder,"""Today,"" he says, <break time=""900ms"" /> ""you will be with me in paradise."" That is the whole of the answer this film exists to unpack. <break time=""700ms"" />","{golgotha_cross} wide reverse angle, the entire hillside lit by a single massive shaft of sun breaking the storm-dark sky, both men's faces caught in the light, dust hanging gold across the whole scene",Jesus answers without hesitation,3,universal,kb,,,
1,1,hero,teaching,"Long before that hill, in the town squares of Galilee, Jesus prepared his followers for harder things ahead. <break time=""900ms"" />","{sparrow_field} wide golden-hour, a teacher standing before a gathered crowd at the edge of a vast grain field stretching to the horizon, warm low sun flooding the entire landscape",a teacher gathers his followers,3,universal,kb,,,
1,2,connective,teaching,"He knew they would be arrested and questioned, maybe worse -- and he told them plainly what to fear and what not to. <break time=""400ms"" />","{sparrow_field} medium, the teacher's face turned toward his listeners, calm and direct, wind moving through the grain behind him",a teacher gathers his followers,1,universal,kb,,,
1,3,hero,teaching,"Do not be afraid of them, he said -- of the ones who can only end your life. <break time=""600ms"" />","{sparrow_field} close, the teacher's hand raised in a plain, unhurried gesture, warm light across his knuckles",do not fear those who kill,2,universal,kb,,,
1,4,connective,wonder,"Whatever is hidden will be brought into the light, he said. Nothing stays covered forever.","{sparrow_field} close, hands lifting a woven cloth off a basket of grain, sunlight catching the kernels underneath",hidden things come to light,2,universal,kb,,,
1,5,connective,teaching,"What I tell you now in the dark, he said, say in the full light of day.","{sparrow_field} wide, a low flat-roofed house at dawn, a single figure standing at its edge above a wide valley",hidden things come to light,2,universal,kb,,,
1,6,connective,teaching,"What you hear whispered, he said, proclaim from the rooftops. <break time=""500ms"" />","{sparrow_field} wide reverse, a rooftop seen from below at first light, a voice carrying out over a wide valley of hills catching the dawn",hidden things come to light,3,universal,kb,,,
1,7,hero,dread,"Then the line gets harder: do not fear those who can kill the body but cannot touch the soul. <break time=""700ms"" />","{sparrow_field} medium, the teacher's expression turning grave, shadow crossing half his face as a cloud passes",do not fear those who kill,2,universal,kb,,,
1,8,connective,teaching,"Fear instead the one who can destroy both soul and body, he said -- and that fear is not really about dying at all.","{sparrow_field} close, the teacher's eyes steady and unflinching, wind lifting dust off the dry path beside him",do not fear those who kill,2,universal,kb,,,
1,9,connective,wonder,"Then, almost gently, he changes the subject to something small.","{sparrow_field} close on open hands releasing grain into the wind, chaff scattering bright against dark tilled earth",a sparrow falls unnoticed,1,universal,kb,,,
1,10,connective,wonder,"Aren't two sparrows sold for a small coin? he asks. <break time=""600ms"" />","{sparrow_field} extreme close, a small brown bird perched on a low branch, feathers lit by low golden sun",a sparrow falls unnoticed,1,universal,kb,,,
1,11,connective,wonder,"Yet not one of them falls to the ground, he said, apart from your Father's knowledge.","{sparrow_field} extreme close, a small bird settling onto bare earth between furrows, soft dust rising where it lands",a sparrow falls unnoticed,2,universal,kb,,,
1,12,hero,wonder,"And you, he says, are worth more than very many sparrows. <break time=""800ms"" />","{sparrow_field} medium, the teacher's face turned up toward a flock lifting off the field into golden light, calm certainty in his expression",a sparrow falls unnoticed,2,universal,kling,,"slow subtle push in on the face and rising birds, gentle natural movement, minimal camera drift",
1,13,connective,teaching,"Even the hairs of your head, he says, are all numbered.","{sparrow_field} extreme close, sunlight catching loose strands of hair against a plain woven shoulder, dust motes suspended in a low shaft of light",hairs numbered on a head,1,universal,kb,,,
1,14,connective,teaching,"Not a rough estimate. Counted. <break time=""400ms"" />","{sparrow_field} close, a hand smoothing back windblown hair, fine strands catching individual points of light",hairs numbered on a head,1,universal,kb,,,
1,15,connective,awe,"That is not poetry for its own sake -- it is a claim about how closely you are known, on both sides of dying.","{sparrow_field} wide, the teacher walking a worn path between fields as the sun drops toward the horizon, long shadow stretching ahead of him",hairs numbered on a head,2,universal,kb,,,
1,16,hero,teaching,"So the first thing Jesus says about death is this: it ends less of you than you think, and it was never the thing most worth fearing. <break time=""1200ms"" />","{sparrow_field} wide reverse, the entire field emptying into dusk under a vast sky, the last birds settling into dark tree lines, one bright star visible above the horizon",hairs numbered on a head,3,universal,kb,,,
1,17,connective,dread,"Back on the hill, the two condemned men beside him have asked for very different things.","{golgotha_cross} medium, two crosses catching the last hard light of afternoon, dust drifting between them",two thieves ask differently,2,universal,kb,,,dust
1,18,connective,dread,"The second man never once asks to be remembered. He mocks, and then he goes quiet. <break time=""500ms"" />","{golgotha_cross} close, a dying man's face slack now, the earlier sneer fading into exhaustion, cold shadow crossing half his face",a second thief mocks him,2,universal,kb,,,
1,19,connective,dread,"Below, soldiers keep dividing a cloak between them, indifferent to everything happening above.","{golgotha_cross} medium low angle, soldiers seated in the dust passing a folded cloak hand to hand, uninterested in the crosses above",soldiers ignore the moment,2,universal,kb,,,dust
1,20,connective,dread,"The sky itself is starting to change color, though it is barely past noon.","{golgotha_cross} extreme wide, a hard rim of storm-dark cloud gathering at the horizon, harsh light thinning overhead",sky darkens before its time,2,universal,kb,,,
1,21,connective,dread,"None of it seems to matter to the second thief -- he wanted proof, not mercy. <break time=""600ms"" />","{golgotha_cross} close, a slack jaw and closed eyes, sweat drying pale on dust-streaked skin",a second thief mocks him,2,universal,kb,,,
