block_id,clip_index,narration,phenomenon,weight,air,topic_class,subject,scale,move,motion
0,1,"In the last light of an Egyptian December, a farmer's spade strikes something that is not a stone.","{desert_dig} wide, pale desert cliffs the color of old bread in low winter light, a lone figure digging",hero,kling,universal,desert_dig,4,settle,"the spade drives down and stops dead on buried clay, dust jumping from the impact, the digger freezing"
0,2,"It rings. Clay. A sealed jar, shoulder-deep in the dry ground at the foot of a cliff the color of old bread -- and the farmer hesitates, because every man in this valley has heard the stories about sealed jars: treasure in some of them, and in others, the things that guard treasure.","{sealed_jar} medium, a tall clay jar standing shoulder-deep in a dug pit, mouth sealed black",support,kling,universal,sealed_jar,4,crane,the jar's sealed mouth cracks open and the first leather books slide out into the low gold light
0,3,He breaks it anyway. And what spills out into the fading light is neither gold nor spirit. It is books.,"{leather_books} medium, thirteen leather-bound books tumbled together in fading gold light",support,floor,universal,leather_books,4,push,
0,4,"Thirteen leather-bound books, older than any kingdom the farmer can name, packed and sealed and buried by careful hands sixteen centuries before -- a whole library, hidden the way you hide something you expect the world to hunt.","{leather_books} close, a tooled leather cover with its wrap-strap, older than kingdoms",support,floor,universal,leather_books,4,crane,
0,5,"Inside one of those books is a text that begins with a sentence like a dare. These are the secret sayings, it says, that the living Jesus spoke -- and whoever finds the meaning of these words will not taste death.","{sayings_page} close, dense Coptic script on papyrus, short sayings stacked like blades, a hand's silhouette just visible at the frame's edge",support,floor,universal,sayings_page,4,push,
1,1,"Hold that claim up to the light and feel how strange it is. Not a story. Not a gospel the way your shelf understands gospels. No stable, no miracles, no trial, no cross, no empty tomb -- the book skips all of it, as if none of it were the point.","{key_door} medium, an old bronze key on dark cloth, teeth cut to a pattern that fits nothing familiar",support,floor,universal,key_door,3,crane,
1,2,"What it holds instead is talk: one hundred and fourteen sayings, bare as knife-blades, one after another, each beginning the same way. Jesus said. Jesus said. Jesus said. Some of them you would recognize from the Bible you know, almost word for word.","{key_door} close, the key entering an unfamiliar lock, tumblers older than the wall",support,floor,universal,key_door,3,settle,
1,3,"Some of them are twisted a quarter-turn from the familiar, like a key cut for a different door. And some of them appear nowhere else on earth -- sayings no church has read aloud in seventeen hundred years.","{key_door} medium, a heavy door standing a hand's width open, thin light along its edge",support,floor,universal,key_door,3,crane,
1,4,"The book gives its own name for the man who wrote the sayings down: Thomas. The twin. The disciple your tradition remembers for doubting -- remembered here, instead, as the one who understood.","{lamp_reader} medium, a lone figure bent over an open book inside a small circle of lamplight",support,floor,universal,lamp_reader,3,settle,
1,5,"This series has opened five graves so far, and every book in them died arguing about the same things: a calendar, a law, a throne, a flood. This book does not argue about any of that. Its danger is quieter and much larger.","{kingdom_spread} wide, ordinary fields and villages under a sky of extraordinary spreading light",hero,floor,universal,kingdom_spread,3,pull,
1,6,"Because a book of sayings with no story needs no priest to perform it and no altar to house it -- only a reader, a lamp, and the nerve to keep reading. The kingdom, this book says, is not coming with signs to be watched for.","{kingdom_spread} medium, a dusty road at golden hour, every stone and leaf lit like an announcement",support,floor,universal,kingdom_spread,3,pull,
1,7,"It is already here, spread out upon the earth -- and men do not see it. Sit with what that sentence does to every institution built on waiting.","{council_shadow} medium, an edict unrolled before a stern assembly, seals heavy at its foot",support,floor,universal,council_shadow,3,push,
1,8,"The people who buried the jar knew exactly what they were carrying. Fourth century, the age of creeds and councils, when the word heresy stopped meaning wrong opinion and started meaning burn it.","{monk_burial} close, hands pressing a bitumen seal onto a jar mouth in firelight",support,floor,universal,monk_burial,3,settle,
1,9,"Somewhere nearby, a monastery library received the letter every library in Egypt received that generation -- the list of books no longer permitted on Christian shelves. And someone in that monastery, some monk whose name is gone, made the oldest choice in this series: he did not burn his books.","{monk_burial} close, hands pressing a bitumen seal onto a jar mouth in firelight",support,floor,universal,monk_burial,3,crane,
1,10,"He packed them in a jar, sealed the mouth with bitumen, walked out under the cliffs, and buried the library where only the desert would know. Sixteen hundred years of silence. Then the spade.","{desert_dig} medium, a man kneeling at a hole, hands brushing soil from a jar's sealed shoulder",support,floor,universal,desert_dig,3,pull,
1,11,What came out of that jar in 1945 did not just add a book to the shelf. It cracked the shelf.,"{open_library} wide, a dozen ancient codices fanned open on dark cloth, a library resurfacing",hero,floor,universal,open_library,3,push,
1,12,"Because Thomas is only the most famous voice in a jar full of them -- gospels and secret revelations and dialogues your Bible never mentions, the reading list of a whole lost Christianity, preserved at the exact moment before the winning version finished deleting it.","{open_library} close, two open pages of unfamiliar script side by side, strangers to every shelf",support,floor,universal,open_library,3,push,
1,13,"For seventeen centuries, the losers of that argument existed only as insults in the winners' books. Now, suddenly, they could speak for themselves -- in their own words, from their own pages, smelling of leather and desert.","{open_library} medium, careful hands spreading the recovered books apart in raking light",support,floor,universal,open_library,3,settle,
1,14,"And the argument they reopen is the one this whole series has been circling from its first film: who gets to stand between a person and the text. Thomas's answer is in its opening line, and it is the most dangerous sentence in the jar.","{lamp_reader} close, an oil lamp's flame steady in still air, darkness pressing the edge",support,floor,universal,lamp_reader,3,pull,
1,15,"Whoever finds the meaning -- not whoever believes correctly, not whoever obeys the right men, not whoever keeps the right feast on the right day. Whoever finds. The book hands the work, and the reward, to the reader alone.","{lamp_reader} wide, one lit window of lamplight in a dark valley of sleeping houses",hero,floor,universal,lamp_reader,5,pull,
1,16,"That is the next grave this series opens: the gospel with no story, the twin who wrote down the secrets, the monk who chose the sand over the fire, and the one hundred and fourteen sayings that were never supposed to reach you. The Secret Sayings. The full film is coming. Bring a lamp.","{sealed_jar} close, the bitumen seal on a jar mouth, cracked lines of great age",support,floor,universal,sealed_jar,3,push,
