block_id,clip_index,sentence_id,weight,register,narration,phenomenon,setting,words,variants,move,air,motion
1,1,s01,hero,hush,"A man climbs the mountain in the dark, carrying one flat stone in both hands.","{highstone} extreme close low angle, two weathered hands gripping a flat pale stone, hard white moonlight raking across the grain, dark summit rock falling away behind",highstone,15,4,settle,kb,
1,2,s01,connective,hush,"He has made this climb before, and he will make it again tomorrow night.","{highstone} wide silhouette, a lone figure climbing a bare ridge against a bright star-thick sky, cold blue light along the rock spine, valley depth below",highstone,14,2,crane,kling,"slow crane up, subtle ambient drift only, subject locked, no other movement"
1,3,s01,connective,hush,At the top he sets the stone down on bare rock and says nothing.,"{highstone} extreme close from above, one pale flat stone set on dark swept rock, cold moonlight edging it, deep shadow in the seams around",highstone,14,2,settle,kling,"near-locked, slow settle, water and suspended particles drifting, subject locked, no other movement"
1,4,s02,connective,awe,"Below him the world is young, and the rivers still run far too wide.","{youngearth} extreme wide from the summit, an immense green valley opening under a bright pre-dawn sky, the small figure tiny on the near rock edge",youngearth,14,2,push,kb,
1,5,s02,connective,awe,"The forests stand taller than forests ought to stand, crowding the low valleys.","{youngearth} low angle looking up through colossal trees, shafts of clean gold light cutting between trunks far taller than any forest should be",youngearth,13,2,push,kb,
1,6,s02,hero,awe,"The sky hangs close over all of it, as though it still remembers touching the ground.","{youngearth} vast wide, a low bright cloud ceiling pressing close over green hills, one small human figure on a ridge for scale, luminous edges on the cloud",youngearth,16,4,pull,kling,"slow pull-back, dust and haze drifting, subject locked, no other movement"
1,7,s03,connective,wonder,"In the valley there is a village of the line of Seth, small and unremarkable.","{village} medium wide, low mud-brick and timber houses under bright clear morning light, smoke rising straight, cooking fires glowing orange in doorways",village,15,2,crane,kling,"slow crane up, dust and haze drifting, subject locked, no other movement"
1,8,s03,connective,wonder,"Clay on their hands, fire before dawn, a life that asks for nothing more.","{village} extreme close, wet clay worked between two pairs of hands, warm firelight from the left, the dark interior soft behind",village,14,2,settle,kling,"near-locked, slow settle, flame and embers rising, subject locked, no other movement"
1,9,s03,connective,tension,"They keep to themselves, and they have kept to themselves for a reason nobody says out loud.","{village} medium, a woman drawing a heavy wooden bar across a door from the inside, hard morning light through the closing gap, a goat pen bright beyond",village,17,2,push,kb,
1,10,s04,connective,menace,"Far from here, in a field nobody names now, a brother lifted his hand against a brother.","{youngearth} distant wide, an empty pale plain under a hard bright sky, one lone standing stone marking a place, long morning shadows",youngearth,17,2,settle,kb,
