clip_index,block_id,weight,variants,setting_token,angle,motion,rr,register,vo_words,narration,phenomenon,ref_tag,move
1,1,H,4,ext,XWIDE,PULL,0,hook,17,"You might recognise this one. Famous little red car, drifting out past everything, going absolutely nowhere fast.","{car} drifting in deep black space, extreme-wide front three-quarter, raw hard sunlight on one flank, pure black star-field behind, the recognisable cherry-red roadster, cinematic bright",EXT,push
2,1,C,2,ext,MED,SETTLE,0,reflection,14,"Famous drive. Famous everything. And nobody, you will notice, is actually steering the thing.","{car} in space, medium front view, {starman}, empty driver seat with no hands truly steering, hard side light, black star-field",EXT,settle
3,1,C,2,ext,WIDE,PUSH,0,tension,14,"But stick around a moment, because the good bit is very easy to miss.","{car} in space, wide rear three-quarter drifting away, camera pushing toward the closed rear boot compartment, faint thump implied, hard stars",EXT,push
4,1,H,4,boot,LOW,CRANE,1,mystery,14,"See, the best part of this whole story was tucked away in the boot.","inside a dark closed boot compartment, low angle, two long-haired dachshunds {both_dogs} curled asleep, a thin crack of light across their faces, wearing clear spherical glass space helmets, full faces visible through the glass, intimate warm rim light",INT,settle
5,1,C,2,boot,XCU,PUSH,1,tender,5,"Watson. Watson, wake up, mate.","extreme close on {bentley} asleep in the dark boot, one amber eye just opening, stars reflected faintly, wearing a clear spherical glass space helmet, full face visible through the glass",INT,settle
6,1,C,2,int,CU,PUSH,0,tension,15,"Come on, up you get. Big morning. Possibly the biggest one we have ever had.","{bentley} in the dark boot close-up, ears lifting, alert and urgent, waking {watson} beside him, wearing a clear spherical glass space helmet, full face visible through the glass, thin seam light",INT,settle
7,1,C,2,int,MED,SETTLE,0,joy,15,And there he is. Never once met a morning that dog did not absolutely love.,"{both_dogs} waking together in the dark boot, over-the-shoulder, the cream dog blissful and delighted to be alive, wearing clear spherical glass space helmets, full faces visible through the glass, warm seam light",INT,settle
8,1,H,4,int,OTS,PULL,1,reflection,15,"Me, though? Me, I like to know exactly where we are before I get excited.","{both_dogs} in the red cabin interior, matte black dashboard, round wheel, over-the-shoulder two-shot looking out through the windshield at black space, {starman} at the wheel, opaque mirror-black visor showing no face, wearing clear spherical glass space helmets, full faces visible through the glass, bright",INT,settle
9,1,C,2,int,POV,SETTLE,0,dread,1,...Ah.,"point-of-view through the windshield of {void}, the vast black void and hard bright stars beyond the glass, enormous and empty, cold clarity",INT,settle
10,1,H,4,void,XWIDE,PULL,1,awe,11,"Right. So. Bit further from home than we usually manage, this.","{car} tiny in an extreme-wide black void of hard stars, two small helmeted dachshund silhouettes visible inside, the car dwarfed, no earth no planet, bright stars",EXT2,push
11,1,C,2,int,CU,PUSH,0,joy,13,"Watson, of course, has already made his mind up. Full adventure. No notes.","{watson} close-up in the red cabin interior, matte black dashboard, round wheel, bouncing with delight ready for adventure, wearing a clear spherical glass space helmet, full face visible through the glass, warm dash glow",INT,push
12,1,C,2,int,MED,SETTLE,0,tender,14,"And I have never, not once in my life, said no to that face.","{bentley} medium in the red cabin interior, matte black dashboard, round wheel looking fondly at Watson off-frame, tender, wearing a clear spherical glass space helmet, full face visible through the glass, soft light",INT,push
13,1,C,2,int,OTS,PUSH,0,reflection,15,You are probably wondering how two dogs from the Hague end up out here. Well.,"{bentley} over-the-shoulder in the red cabin, matte black dashboard, turning toward camera as a warm dissolve begins, raconteur, wearing a clear spherical glass space helmet, full face visible, warm dash glow",INT,settle
14,1,H,4,home,WIDE,SETTLE,1,nostalgia,14,"The Hague. Two dachshunds, four very short legs, and dreams the size of houses.","two bare-fur long-haired dachshunds {both_dogs} in {home}, wide, no helmets, warm golden Dutch afternoon light, cosy canal-side garden, soft memory focus",HOME,push
15,1,C,2,home,MED,PUSH,0,joy,14,"Watson found the car first. Sitting there in the sun, boot wide open, waiting.","bare-fur {watson} in {home} medium, ears up, spotting something off-frame, no helmet, warm daylight",HOME,push
16,1,C,2,home,CU,PUSH,0,mischief,15,"I found the open boot. And I had, if I say so myself, an idea.","bare-fur {bentley} in {home} close-up at an open car boot with a scheming grin, no helmet, golden light",HOME,push
17,1,H,4,home,LOW,CRANE,1,joy,15,"So in we went. No ticket, no plan, no earthly clue. Best kind of trip.","two bare-fur dachshunds {both_dogs} leaping into an open car boot in {home}, low angle, no helmets, warm daylight, playful",HOME,push
18,1,C,2,home,HIGH,SETTLE,0,tension,13,"In hindsight, I possibly should have mentioned the plan to Watson. Ah well.","high angle looking down as a boot lid swings shut over two bare-fur dogs in {home}, the daylight narrowing to a sliver, no helmets",HOME,push
