clip_index,block_id,sentence_id,setting,words,weight,variants,still_cost,clip_cost,beat_cost,register,narration,phenomenon
1,2,S01,heavens,5,hero,4,0.32,0.42,0.74,awe,Nobody knows who wrote it.,"{heavens}. The moon colossal, plated and seamed, twelve gates ranked across its curved face, filling the frame. Blazing white-gold light raking every edge."
2,2,S02,heavens,4,connective,2,0.16,0.42,0.58,unease,But we know when —,"{heavens}. Low angle beneath one enormous gate mouth, its rim towering away out of frame. Hard directional light, mass and shadow."
3,2,S02,heavens,6,hero,4,0.32,0.42,0.74,unease,and that is the strange part.,"{heavens}. Pull-back: the moon revealed as world-sized, gates now a countable row across it, a robed man a speck at the bottom edge. Clean bright light, no murk."
4,2,S03,cave,7,connective,2,0.16,0.42,0.58,wonder,"In nineteen fifty-two, above the Dead Sea,","{cave}. Enormous pale limestone cliff riddled with black cave mouths, the salt sea flat and blazing below, the scale vast. Hard clean desert daylight."
5,2,S03,cave,9,hero,4,0.32,0.42,0.74,wonder,in a cliff full of holes in the desert,"{cave}. Low angle: one cave mouth colossal above the frame, two tiny human figures at its lip, dwarfed to specks. Blazing daylight on the rock, the figures rim-lit."
6,2,S03,cave,7,connective,2,0.16,0.42,0.58,fascination,they found eleven Aramaic manuscripts of Enoch.,"{cave}. Interior wide: a hard column of daylight from the mouth striking the cave floor, dust turning in it, dark rolls scattered in the beam. Bright shaft, everything else clearly lit."
7,2,S04,cave,6,hero,4,0.32,0.42,0.74,fascination,Four of them were this book.,"{cave}. Four dark rolls in the daylight column, apart from the rest, the cave enormous around them. Brilliant shaft light."
8,2,S05,cave,8,connective,2,0.16,0.42,0.58,fascination,The oldest of the four was copied out,"{cave}. A brittle fragment held up at the cave mouth, the desert blazing white behind it. Overwhelming backlight, script black against the sky."
9,2,S05,heavens,7,hero,4,0.32,0.42,0.74,awe,two hundred and twenty-five years before Christ.,"{heavens}. The moon hanging in blazing open sky, ancient, its face carved into ranked stone openings, weathered, indifferent. Brilliant clean light, hard edges."
10,2,S06,heavens,9,connective,2,0.16,0.42,0.58,unease,Which makes the thing it was copied from older,"{heavens}. The moon over an empty prehistoric world -- bare rock to the horizon, no structures, no people, nothing. Brilliant moonlight raking the stone."
11,2,S06,heavens,1,hero,4,0.32,0.42,0.74,unease,still.,"{heavens}. Extreme close on the gateways in the moon's face -- ranked, countable, hewn square from the rock. Hard raking light."
12,2,S07,heavens,6,hero,4,0.32,0.42,0.74,awe,Older than the book of Daniel.,"{heavens}. The moon enormous over an empty land, one silhouette of a low ridge for scale, no city, no fire, nothing built. Brilliant warm moonlight."
13,2,S08,heavens,7,hero,4,0.32,0.42,0.74,awe,This is the oldest science we have.,"{heavens}. Extreme wide from high above the lunar surface: the whole curve of the moon, its face cut with ranked stone gateways from limb to limb, immense and ordered, the man invisible until you find him. Blazing raw sunlight, hard shadow, black star-scattered space."
14,2,S09,cave,9,connective,2,0.16,0.42,0.58,unease,And here is the first strange thing about it —,"{cave}. One dark roll lying alone in the daylight shaft, set well apart from the stacked others. Hard bright light on it, the cave bright and empty around."
15,2,S09,hermon,10,hero,4,0.32,0.42,0.74,awe,at Qumran this book did not arrive with the rest,"{hermon}. Vast host of enormous winged figures descending in ranks through torn cloud onto the summit, one small human silhouette beneath. Blazing gold light behind them, cold blue day on the stone."
16,2,S09,hermon,8,connective,2,0.16,0.42,0.58,awe,"of Enoch, but travelled alone — its own scroll,","{hermon}. A colossal giant standing over a mud-brick house, physically real, weight and shadow, a human face turned up at the bottom edge. Hard bright daylight."
17,2,S09,hermon,10,connective,2,0.16,0.42,0.58,awe,"its own scribe, kept separate from the Watchers and separate","{hermon}. A wall of water taller than a mountain range crossing a plain, bright and physical, ridges of foam catching hard light. Blazing clean daylight."
18,2,S09,heavens,10,connective,2,0.16,0.42,0.58,unease,from the flood by somebody who thought it was a,"{heavens}. Hard cut to the structure: fitted cut stone, ruled courses, ranked openings, standing still in bright open sky. No figures, no story, only the architecture. Clean hard light."
19,2,S09,heavens,5,hero,4,0.32,0.42,0.74,unease,different kind of thing entirely.,"{heavens}. Extreme close on the structure's surface -- dressed stone, tooled channels, ruled edges, cut by hand and exact. Brilliant raking light, every mark legible."
20,2,S10,babylon,4,connective,2,0.16,0.42,0.58,fascination,Here is the second.,"{babylon}. A colossal stepped ziggurat rising over the flat plain, dwarfing the palms and the river. Blazing gold late light, long hard shadows."
21,2,S11,babylon,6,hero,4,0.32,0.42,0.74,awe,The astronomy in it is Babylonian.,"{babylon}. The ziggurat black against the sky -- and behind it the moon enormous and low, its curved limb crossing the horizon, vast stone gateways hewn into that limb and silhouetted against the light, echoing the ziggurat's own terraces. Brilliant warm moonlight, the moon the brightest thing in frame."
22,2,S12,babylon,6,connective,2,0.16,0.42,0.58,fascination,"The gates, the sevenths, the tables —","{babylon}. A single figure on the ziggurat's summit, arm raised toward the moon, the gates visible on its face above him, he is a speck. Brilliant moonlight from behind, rim-lighting him."
23,2,S12,babylon,4,connective,2,0.16,0.42,0.58,fascination,that is cuneiform star-lore,"{babylon}. Extreme close: wedge marks pressed into clay in ruled columns, the moon huge and out of focus behind. Hard raking light on the clay."
24,2,S12,babylon,7,connective,2,0.16,0.42,0.58,fascination,"carried west, and written down in Aramaic.","{babylon}. A caravan strung out across a night desert, tiny, the enormous moon low ahead of them lighting the sand. Brilliant warm moonlight, long shadows."
25,2,S13,babylon,9,hero,4,0.32,0.42,0.74,awe,Somebody moved a Mesopotamian science a thousand miles across,"{babylon}. High wide: the desert running to the horizon, the caravan a thread across it, the moon dominating the sky above. Brilliant moonlight, the land clearly lit."
26,2,S13,highland,10,connective,2,0.16,0.42,0.58,unease,"the desert, and put it in the mouth of a","{highland}. Vast Ethiopian escarpment, the land falling away for miles, one robed figure tiny on the rim under a huge sky. Blazing clean morning light."
27,2,S13,heavens,1,hero,4,0.32,0.42,0.74,awe,patriarch.,"{heavens}. The man impossibly small beneath the colossal architecture, standing on nothing, ranked stone courses filling the sky above him. Blazing light from above, no murk."
28,2,S14,heavens,5,connective,2,0.16,0.42,0.58,unease,And here is the third.,"{heavens}. The structure seen along its length, gateway after gateway, ordered and countable. Hard clean light."
29,2,S15,heavens,4,hero,4,0.32,0.42,0.74,awe,The Aramaic is longer.,"{heavens}. The moon's surface receding into distance -- rank behind rank of carved stone gateways sunk in the grey rock, course upon course stacked away beyond counting, far more than has ever been seen, curving to a black horizon. Brilliant raw sunlight picking out every layer."
30,2,S16,chapel,9,connective,2,0.16,0.42,0.58,unease,The version everyone reads is the Ethiopic — the only,"{chapel}. Wide from outside: the chapel mouth a bright speck in a vast highland cliff face, the codex a point of light within. Blazing daylight on the rock."
31,2,S16,chapel,10,hero,4,0.32,0.42,0.74,unease,complete copy of this book that survives anywhere on earth,"{chapel}. The single codex on its stand in the bright empty chapel, one hard shaft on it, nothing else in frame. Blazing light, hard shadow."
32,2,S17,heavens,5,hero,4,0.32,0.42,0.74,unease,And it is an abridgement.,"{heavens}. The moon -- and an enormous crescent of it simply gone. Hundreds of miles of ranked stone gateways end at a sheared edge, and beyond it nothing but black empty space where the rock should be. Brilliant raw sunlight, the broken edge blazing, blackness beyond."
33,2,S18,chapel,7,connective,2,0.16,0.42,0.58,unease,"James VanderKam, who wrote the standard commentary,","{chapel}. A modern printed critical edition open flat, dense numbered verses, the moon huge and out of focus through the opening behind. Flat bright daylight."
34,2,S18,heavens,7,hero,4,0.32,0.42,0.74,unease,says something drastic happened between the two.,"{heavens}. Wide: the stone structure spanning the sky with an enormous section torn out of it, the man beneath staring into the emptiness. Brilliant light, the absence legible."
35,2,S19,heavens,3,hero,4,0.32,0.42,0.74,unease,Somebody cut it.,"{heavens}. The sheared edge where the missing section begins -- broken courses, dressed stone stopping dead in open air. Hard raking light on the break."
36,2,S20,heavens,6,hero,4,0.32,0.42,0.74,unease,And nobody knows what they cut.,"{heavens}. The absence filling the frame -- sheared lunar rock and broken stone courses at the far left and far right, and between them nothing but black empty space where hundreds of miles of the moon have been torn out. Brilliant raw sunlight on the broken edges, overwhelming black emptiness between."
37,2,S21,chapel,6,connective,2,0.16,0.42,0.58,reflection,What is left is eleven chapters.,"{chapel}. A hand marking two points in the page block, a thin section between them. Hard bright daylight."
38,2,S22,heavens,7,connective,2,0.16,0.42,0.58,awe,Eleven chapters of arithmetic about the sky.,"{heavens}. What still stands -- colossal, gateways ranked across the moon's face in blazing open sky. Brilliant white-gold light, hard edges."
39,2,S23,heavens,3,hero,4,0.32,0.42,0.74,awe,It is enough.,"{heavens}. Pull-back: the moon world-sized, the whole ranked structure visible at once, the man a speck at the bottom edge. Blazing clean light."
40,2,S24,heavens,3,hero,4,0.32,0.42,0.74,fascination,He counted them.,"{heavens}. Close on the man's face turned up, lit hard and bright, eyes moving as if reading. The brightest thing in frame."
