rank,video_id,retention_pct,length_s,avd_s,current_views,current_title,new_title,title_shape,keywords,notes
1,XteFiFOwB3Q,36.5,919,335,42,Where Did Cain's Wife Come From? The Question Genesis Won't Answer,Where Did Cain's Wife Come From? The Bible's Answer Will Surprise You,direct question + stated payoff,"where did cain's wife come from,who did cain marry,bible questions answered,genesis 4 explained,did cain marry his sister,bible contradictions explained,confusing bible verses,cain and abel explained,genesis mysteries,questions about the bible",Highest retention on the channel. Current title explicitly PROMISES NO ANSWER - the exact anti-payoff. Ship this one first.
2,V9CaFbbyMFo,36.1,504,182,19,"How the Giants Came BACK After the Flood - Og, Anakim & Goliath","If the Flood Killed Every Giant, Where Did Goliath Come From?",contradiction question,"where did goliath come from,david and goliath explained,giants in the bible,were giants real,goliath nephilim,giants after the flood,og king of bashan,bible giants explained,anakim,rephaim bible","Second-highest retention, lowest views on the channel. Pure packaging failure."
3,XdyBY6BN45w,30.3,965,292,41,What Was REALLY Built at Babel - and Why God Stopped It,Why Do We All Speak Different Languages? What Really Happened at Babel,contradiction question,"why do we speak different languages,tower of babel explained,origin of languages bible,genesis 11 explained,confusion of languages,what was the tower of babel,nimrod babel,bible explains history,tower of babel truth,ancient mesopotamia bible",
4,6u-Cu33IYWs,28.8,747,215,79,Every Fallen Angel Named in the Book of Enoch (and What They Taught),Who Taught Humanity Its Darkest Skills? The Book of Enoch Names Every Angel,list + stated payoff,"where did evil come from,who taught humans magic,forbidden knowledge angels,fallen angels names,book of enoch fallen angels,origin of witchcraft bible,azazel taught humans,200 watchers names,book of enoch explained,origin of sin",Strong list-format demand. Enoch Codex's Ep.2 on the same subject did 39K.
5,txdhiRCDeD0,28.3,628,178,150,Enoch Saw the Throne of God - and It Was Too Bright to Describe,What Does God Actually Look Like? The Man Who Says He Saw the Throne,direct question,"what does god look like,what is heaven like,throne of god bible,enoch throne vision,seven heavens,book of enoch heaven,heaven described bible,god's appearance,visions of heaven,enoch 14 explained",Enoch Codex's 293K breakout was the seven-heavens/throne subject. Highest-demand topic you own.
6,l7HAcImyAGc,27.9,1842,514,564,The Only Man God Took Alive - Why Enoch Vanished Before the Flood,Did Anyone Ever Escape Death? The Bible Says One Man Did,direct question,"who never died in the bible,men who never died,enoch taken by god,why did enoch not die,translated to heaven,genesis 5 24 explained,enoch and elijah,life after death bible,taken alive to heaven,enoch explained","Dropped 'only man' - Elijah also never died, and a factual hole in a title invites correction comments."
7,MOhMA-1-5Ls,27.1,561,152,169,The Angel Whose Sin Was So Dark Enoch Barely Names Him,What Was the Worst Sin Ever Committed? Enoch Would Barely Write It Down,direct question,"worst sin in the bible,unforgivable sin,azazel sin,where did evil come from,book of enoch sins,fallen angel worst,forbidden knowledge angels,most evil angel,enoch 10 explained,origin of evil",
8,x2imWl56VAI,26.9,1020,274,24,Elijah Called Fire Down From Heaven - and Humiliated 450 Prophets,How Do You Prove Which God Is Real? Elijah Did It in Front of 450 Prophets,direct question,"elijah mount carmel,how to know god is real,elijah 450 prophets of baal,1 kings 18 explained,elijah fire from heaven,who was baal,proof god is real bible,old testament miracles,elijah bible story,mount carmel",
9,_RoOXD6wAXs,26.8,956,256,273,The Mark of Cain: What God Really Put on the First Murderer,What Was the Mark of Cain? It's Not What You Were Taught in Church,direct question + contradiction,"mark of cain,what was the mark of cain,curse of cain,genesis 4 explained,cain and abel explained,first murderer bible,bible misconceptions,land of nod,mark of cain meaning,bible questions answered",
10,NBOMkfk0rZM,26.3,1832,482,305,How the Dead Nephilim Became Demons - The Banned Book of Giants,Where Do Demons Actually Come From? The Answer the Church Left Out,yes/no doctrinal question,"where do demons come from,what are demons,origin of demons bible,are demons fallen angels,nephilim spirits,book of giants explained,unclean spirits origin,demons in the bible,dead sea scrolls giants,demon possession bible","Enoch Codex ran near-identical framing on demon origins. Proven demand, personal stakes."
11,yTWSyeDYOws,26.0,1060,276,309,The TRUE Story of the Nephilim the Church Left Out of the Bible,Who Were the Sons of God in Genesis 6? The Verse Nobody Preaches,direct question + second person,"sons of god daughters of men,genesis 6 explained,who were the nephilim,confusing bible verses,giants in the bible,genesis 6 sons of god,nephilim explained,watchers and nephilim,hardest bible verses,bible questions answered",
12,CteKFLKA8V4,25.2,555,140,20,It Wasn't the Serpent That Deceived Eve - It Was This Angel,Was the Serpent in Eden Really Satan? The Bible Never Says So,yes/no question,"was the serpent satan,who deceived eve,serpent in the garden,genesis 3 explained,garden of eden truth,fall of man explained,bible misconceptions,gadreel enoch,who was the serpent,eve and the serpent",
13,OH6Cugzt78U,24.4,1987,485,345,The Watchers' Daughters: What the Book of Enoch Hides About the Female Nephilim,What Was the World Like Before the Flood? It Was Worse Than You Think,direct question,"world before the flood,why did god flood the earth,pre flood civilization,antediluvian world,genesis 6 explained,nephilim before the flood,watchers daughters,book of enoch flood,noah's flood reason,ancient world bible","A/B test finished 17 June, inconclusive. Hybrid of the variant that led on watch-time share."
14,KCo7i16Ehag,24.3,1652,401,412,Enoch SAW Inside the Moon. His Book Was BANNED.,Why Was This Book Banned From the Bible? It Described the Sky Too Accurately,direct question,"why was the book of enoch banned,books removed from the bible,book of enoch astronomy,enoch calendar,banned books of the bible,enoch sun and moon,forbidden books bible,book of enoch explained,ancient astronomy,enoch 72",Softened the science claim - 'saw inside the moon' overstates the text and invites debunk comments.
15,LEgu51RCv_Y,23.9,1009,241,35,Why God Shut the Ark Door Himself - The Flood Detail Genesis Skips,Who Shut the Door of Noah's Ark? Genesis Answers in Four Words,direct question,"noah's ark explained,who shut the ark door,genesis 7 16 explained,noah and the flood,noah's ark truth,flood story bible,genesis flood explained,bible details missed,noah bible story,ark of noah",
16,gZKudBVtL6w,23.4,4570,1069,524,Deleted From Your Bible - And Nobody Told You | THE FORBIDDEN BOOKS | Full Bible Movie 4K,"Which Books Were Deleted From Your Bible? All of Them, Explained | Full Movie 4K",direct question + second person + format suffix,"books removed from the bible,forbidden books of the bible,why were books removed from the bible,apocrypha explained,lost books of the bible,banned bible books,book of enoch,book of jubilees,full bible movie,bible history documentary",Best sub-rate on the channel (2.5%) and highest absolute watch time per view. Keep the 'Full Movie 4K' suffix - Forgotten Bible Stories proves it works.
